Country,Region,Year,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Choices,Generosity,Perceptions of Corruption
New Zealand,Oceania,2025,6.946,1.582,1.471,1.265,0.314,0.13,0.164
Iceland,Europe,2022,5.624,1.445,1.181,1.052,0.899,0.532,0.029
Luxembourg,Europe,2026,5.373,1.293,1.091,0.957,0.337,0.318,0.245
Denmark,Europe,2025,5.316,1.349,1.239,1.091,0.89,0.316,0.423
Norway,Europe,2021,6.068,1.507,1.222,1.146,0.638,0.518,0.305
Australia,Oceania,2020,5.116,1.291,1.307,0.895,0.568,0.393,0.217
Austria,Europe,2017,4.379,1.072,0.991,0.931,0.603,0.144,0.192
Canada,North America,2016,5.87,1.349,1.318,1.072,0.446,0.198,0.353
Norway,Europe,2015,4.52,1.214,0.959,0.89,0.401,0.093,0.386
Norway,Europe,2017,4.912,1.172,1.259,1.016,0.891,0.241,0.409
New Zealand,Oceania,2021,5.181,1.397,1.086,0.921,0.489,0.473,0.186
New Zealand,Oceania,2024,7.794,1.861,1.577,1.394,0.781,0.042,0.309
India,South Asia,2020,5.526,1.33,1.187,1.022,0.856,0.426,0.468
Austria,Europe,2023,3.034,0.784,0.918,0.684,0.889,0.094,0.148
United States,North America,2020,4.567,1.118,1.055,0.914,0.487,0.048,0.354
Switzerland,Europe,2015,6.819,1.684,1.394,1.133,0.756,0.19,0.188
India,South Asia,2024,5.435,1.297,1.279,1.054,0.385,0.32,0.305
Austria,Europe,2024,4.943,1.164,1.236,0.884,0.728,0.107,0.008
Luxembourg,Europe,2020,4.81,1.135,1.025,0.974,0.762,0.49,0.421
Denmark,Europe,2015,7.164,1.758,1.531,1.318,0.428,0.474,0.215
Canada,North America,2020,7.587,1.842,1.468,1.257,0.471,0.055,0.447
Denmark,Europe,2024,7.66,1.912,1.672,1.434,0.868,0.526,0.431
New Zealand,Oceania,2019,3.008,0.819,0.832,0.661,0.793,0.491,0.299
Switzerland,Europe,2015,4.773,1.157,1.061,0.939,0.34,0.013,0.218
Germany,Europe,2026,3.147,0.955,0.782,0.596,0.64,0.571,0.271
India,South Asia,2022,4.043,0.966,1.012,0.871,0.649,0.578,0.398
Switzerland,Europe,2017,3.289,0.801,0.928,0.633,0.317,0.546,0.445
Germany,Europe,2021,6.745,1.546,1.4,1.236,0.758,0.006,0.163
Germany,Europe,2024,6.986,1.777,1.574,1.219,0.77,0.29,0.358
Austria,Europe,2020,3.756,0.892,0.886,0.85,0.618,0.481,0.288
Denmark,Europe,2023,4.773,1.114,1.193,0.957,0.617,0.196,0.094
New Zealand,Oceania,2020,6.198,1.558,1.347,1.138,0.365,0.418,0.367
Sweden,Europe,2023,4.298,1.019,1.173,0.863,0.579,0.278,0.482
Iceland,Europe,2017,6.424,1.633,1.261,1.088,0.398,0.453,0.22
Norway,Europe,2018,4.124,1.068,1.092,0.866,0.81,0.552,0.39
Austria,Europe,2018,4.37,1.1,0.978,0.805,0.751,0.02,0.364
Norway,Europe,2023,3.317,0.795,0.783,0.639,0.649,0.405,0.317
Netherlands,Europe,2016,5.392,1.396,1.106,0.955,0.834,0.205,0.401
Denmark,Europe,2022,4.806,1.26,1.015,0.975,0.645,0.161,0.251
Luxembourg,Europe,2026,3.098,0.782,0.792,0.692,0.427,0.559,0.321
Denmark,Europe,2018,4.581,1.265,1.038,0.838,0.847,0.055,0.471
United States,North America,2015,7.765,1.893,1.725,1.266,0.598,0.442,0.391
Australia,Oceania,2018,3.28,0.793,0.944,0.681,0.421,0.356,0.26
Denmark,Europe,2024,7.346,1.853,1.468,1.316,0.353,0.147,0.455
Sweden,Europe,2021,3.452,0.812,0.966,0.76,0.547,0.564,0.383
United States,North America,2018,7.461,1.812,1.669,1.353,0.787,0.473,0.077
Finland,Europe,2024,4.276,1.195,1.113,0.84,0.648,0.496,0.156
Germany,Europe,2017,5.316,1.448,1.294,0.971,0.339,0.382,0.417
Germany,Europe,2026,6.527,1.661,1.506,1.18,0.575,0.095,0.422
Sweden,Europe,2023,4.284,1.122,1.163,0.9,0.521,0.428,0.466
New Zealand,Oceania,2022,5.217,1.336,1.133,1.064,0.778,0.423,0.295
Germany,Europe,2021,4.429,1.095,0.97,0.913,0.778,0.358,0.326
Finland,Europe,2020,3.191,0.815,0.85,0.741,0.766,0.108,0.026
United States,North America,2023,3.358,0.811,0.876,0.683,0.476,0.189,0.104
Germany,Europe,2025,7.017,1.662,1.419,1.168,0.617,0.499,0.125
Austria,Europe,2022,3.772,0.981,0.784,0.848,0.706,0.2,0.441
Switzerland,Europe,2019,5.912,1.597,1.319,1.072,0.521,0.471,0.036
New Zealand,Oceania,2025,3.71,1.039,0.918,0.798,0.759,0.482,0.417
United States,North America,2015,3.762,1.008,1.001,0.719,0.863,0.117,0.033
Denmark,Europe,2021,7.077,1.845,1.604,1.201,0.887,0.552,0.082
Australia,Oceania,2022,5.666,1.407,1.415,0.962,0.676,0.123,0.264
Denmark,Europe,2020,4.184,1.069,1.138,0.88,0.644,0.133,0.213
Finland,Europe,2026,6.939,1.638,1.548,1.16,0.314,0.329,0.112
Sweden,Europe,2021,6.503,1.605,1.509,1.208,0.738,0.184,0.132
Switzerland,Europe,2018,4.429,1.16,0.899,0.964,0.757,0.145,0.342
Norway,Europe,2017,3.429,0.911,0.901,0.632,0.611,0.309,0.314
Iceland,Europe,2021,7.722,1.868,1.515,1.449,0.302,0.466,0.016
Australia,Oceania,2020,7.502,1.798,1.523,1.271,0.595,0.103,0.336
United States,North America,2018,4.551,1.167,1.082,0.811,0.725,0.53,0.139
New Zealand,Oceania,2024,6.65,1.559,1.309,1.221,0.444,0.103,0.491
Australia,Oceania,2025,7.337,1.709,1.666,1.301,0.347,0.44,0.446
Austria,Europe,2026,6.483,1.587,1.493,1.215,0.316,0.107,0.236
Germany,Europe,2022,4.642,1.228,0.939,0.939,0.662,0.429,0.452
New Zealand,Oceania,2022,4.256,1.235,0.913,0.882,0.735,0.41,0.114
Australia,Oceania,2024,6.198,1.46,1.414,1.128,0.532,0.18,0.474
Sweden,Europe,2018,4.17,1.212,0.858,0.87,0.449,0.487,0.156
Denmark,Europe,2026,4.303,1.099,1.092,0.765,0.753,0.066,0.457
Australia,Oceania,2018,5.763,1.347,1.218,1.045,0.592,0.0,0.444
Sweden,Europe,2017,6.714,1.645,1.466,1.149,0.664,0.322,0.082
Switzerland,Europe,2021,3.321,0.797,0.702,0.642,0.708,0.19,0.171
Luxembourg,Europe,2015,5.762,1.403,1.34,1.113,0.651,0.166,0.254
Luxembourg,Europe,2026,4.648,1.109,1.115,0.845,0.799,0.171,0.105
Austria,Europe,2017,7.16,1.776,1.507,1.304,0.757,0.247,0.238
Netherlands,Europe,2026,7.208,1.833,1.404,1.206,0.812,0.5,0.194
Luxembourg,Europe,2020,7.348,1.894,1.658,1.244,0.738,0.061,0.447
Netherlands,Europe,2020,6.179,1.562,1.445,1.137,0.336,0.424,0.192
Denmark,Europe,2016,7.76,1.905,1.71,1.369,0.762,0.451,0.329
Finland,Europe,2022,5.207,1.372,1.277,0.956,0.574,0.582,0.016
Canada,North America,2025,3.62,0.857,0.956,0.653,0.336,0.096,0.176
Norway,Europe,2018,6.804,1.742,1.351,1.137,0.484,0.022,0.25
Luxembourg,Europe,2026,5.01,1.355,1.196,1.038,0.675,0.349,0.326
Austria,Europe,2016,7.314,1.726,1.477,1.204,0.522,0.508,0.035
Iceland,Europe,2021,6.335,1.653,1.415,1.088,0.879,0.057,0.384
Switzerland,Europe,2026,6.767,1.599,1.526,1.261,0.881,0.139,0.047
Canada,North America,2026,3.59,0.882,0.846,0.721,0.842,0.117,0.486
Norway,Europe,2018,4.193,1.124,0.89,0.907,0.328,0.453,0.187
United States,North America,2023,6.661,1.659,1.543,1.114,0.673,0.149,0.452
Canada,North America,2018,4.592,1.186,0.937,0.918,0.664,0.168,0.09
Luxembourg,Europe,2020,7.105,1.624,1.486,1.292,0.848,0.521,0.448
Germany,Europe,2025,7.036,1.793,1.637,1.218,0.847,0.242,0.317
Austria,Europe,2015,5.053,1.298,1.116,1.016,0.68,0.414,0.116
Denmark,Europe,2018,6.169,1.456,1.436,1.06,0.338,0.317,0.277
Sweden,Europe,2020,4.672,1.314,1.027,0.832,0.896,0.181,0.34
Australia,Oceania,2022,3.884,1.057,1.017,0.712,0.754,0.42,0.099
Australia,Oceania,2016,4.834,1.262,1.083,0.905,0.395,0.344,0.273
Luxembourg,Europe,2025,5.6,1.525,1.322,1.036,0.85,0.345,0.068
Austria,Europe,2025,4.793,1.276,1.15,0.946,0.742,0.083,0.275
Sweden,Europe,2015,4.644,1.181,1.092,0.861,0.476,0.443,0.033
Australia,Oceania,2024,6.138,1.453,1.376,1.081,0.806,0.21,0.115
Denmark,Europe,2015,3.651,1.053,0.961,0.802,0.539,0.501,0.247
Norway,Europe,2025,4.075,1.124,1.102,0.73,0.819,0.479,0.178
Denmark,Europe,2020,5.936,1.528,1.18,1.049,0.846,0.254,0.48
Denmark,Europe,2024,7.788,1.938,1.735,1.348,0.844,0.327,0.34
Australia,Oceania,2021,6.032,1.597,1.239,1.152,0.315,0.556,0.491
Sweden,Europe,2015,3.514,0.988,0.741,0.724,0.463,0.284,0.009
New Zealand,Oceania,2020,3.077,0.882,0.822,0.608,0.688,0.531,0.139
New Zealand,Oceania,2016,6.18,1.418,1.325,1.129,0.739,0.172,0.491
Luxembourg,Europe,2024,6.438,1.542,1.474,1.208,0.657,0.214,0.406
Austria,Europe,2021,7.175,1.689,1.525,1.245,0.724,0.499,0.108
Sweden,Europe,2018,6.251,1.48,1.337,1.059,0.658,0.102,0.347
New Zealand,Oceania,2025,5.301,1.24,1.237,0.97,0.87,0.308,0.036
Denmark,Europe,2015,4.255,1.09,0.921,0.842,0.598,0.128,0.336
Sweden,Europe,2015,4.918,1.229,1.151,0.989,0.685,0.196,0.173
Germany,Europe,2023,5.566,1.299,1.148,1.105,0.899,0.201,0.193
Germany,Europe,2024,4.131,1.065,0.929,0.86,0.623,0.493,0.362
Germany,Europe,2016,5.976,1.451,1.364,0.998,0.889,0.102,0.33
Australia,Oceania,2018,3.824,0.919,0.834,0.723,0.401,0.404,0.21
Iceland,Europe,2024,3.227,0.975,0.732,0.656,0.343,0.082,0.333
Austria,Europe,2021,6.249,1.563,1.511,1.139,0.57,0.149,0.049
Germany,Europe,2022,4.511,1.174,0.974,0.944,0.9,0.193,0.421
Canada,North America,2025,7.781,1.848,1.727,1.313,0.675,0.423,0.371
India,South Asia,2020,5.021,1.209,1.166,1.026,0.88,0.449,0.003
Australia,Oceania,2021,3.366,0.816,0.821,0.673,0.368,0.529,0.308
Germany,Europe,2026,4.783,1.205,1.056,0.905,0.666,0.296,0.419
Switzerland,Europe,2026,5.254,1.266,1.329,1.035,0.684,0.447,0.038
Netherlands,Europe,2024,3.735,0.909,0.898,0.692,0.813,0.347,0.184
Canada,North America,2015,7.601,1.826,1.592,1.416,0.558,0.514,0.014
Finland,Europe,2021,7.572,1.779,1.543,1.362,0.856,0.119,0.461
Norway,Europe,2021,7.767,1.943,1.698,1.428,0.405,0.568,0.083
New Zealand,Oceania,2016,6.335,1.617,1.505,1.11,0.48,0.445,0.114
Netherlands,Europe,2020,3.562,1.075,0.82,0.704,0.389,0.227,0.318
Sweden,Europe,2017,6.972,1.744,1.434,1.257,0.339,0.348,0.195
New Zealand,Oceania,2020,4.476,1.259,1.081,0.952,0.546,0.587,0.18
Norway,Europe,2023,4.466,1.059,1.154,0.922,0.792,0.18,0.352
Iceland,Europe,2026,6.347,1.647,1.369,1.071,0.401,0.59,0.247
Austria,Europe,2022,6.961,1.789,1.478,1.29,0.568,0.444,0.497
Switzerland,Europe,2016,6.043,1.475,1.352,1.181,0.509,0.043,0.399
Denmark,Europe,2015,3.88,0.927,0.882,0.826,0.547,0.342,0.041
Denmark,Europe,2019,7.491,1.761,1.499,1.322,0.33,0.022,0.248
Germany,Europe,2015,4.421,1.142,1.014,0.79,0.648,0.426,0.338
Switzerland,Europe,2026,3.66,0.98,1.026,0.743,0.417,0.056,0.472
Finland,Europe,2015,3.072,0.956,0.758,0.569,0.548,0.44,0.221
Canada,North America,2024,7.329,1.793,1.664,1.31,0.866,0.545,0.241
New Zealand,Oceania,2022,5.888,1.514,1.309,1.148,0.41,0.201,0.343
Sweden,Europe,2018,5.111,1.415,1.208,1.056,0.733,0.435,0.296
India,South Asia,2020,5.495,1.322,1.389,0.978,0.438,0.374,0.255
Sweden,Europe,2021,3.622,1.05,0.897,0.672,0.579,0.152,0.112
Denmark,Europe,2024,4.738,1.104,1.244,0.97,0.453,0.245,0.431
Germany,Europe,2017,5.724,1.443,1.251,1.086,0.584,0.013,0.407
Canada,North America,2019,5.784,1.499,1.264,1.115,0.379,0.392,0.413
United States,North America,2015,5.782,1.4,1.19,1.036,0.624,0.118,0.476
Norway,Europe,2017,3.158,0.885,0.905,0.623,0.614,0.244,0.098
Norway,Europe,2018,7.77,1.851,1.664,1.331,0.826,0.519,0.089
Canada,North America,2025,5.598,1.445,1.202,1.062,0.726,0.006,0.017
Norway,Europe,2026,5.196,1.427,1.254,0.954,0.391,0.587,0.292
Switzerland,Europe,2026,4.438,1.24,1.051,0.957,0.382,0.584,0.22
Canada,North America,2020,5.544,1.471,1.315,1.056,0.55,0.475,0.474
Denmark,Europe,2019,5.822,1.547,1.344,1.133,0.837,0.451,0.359
Luxembourg,Europe,2020,7.146,1.826,1.412,1.22,0.634,0.426,0.152
Norway,Europe,2024,3.178,0.959,0.883,0.689,0.834,0.066,0.357
Finland,Europe,2018,3.292,0.808,0.978,0.682,0.329,0.35,0.1
Sweden,Europe,2026,6.64,1.55,1.578,1.215,0.352,0.131,0.305
Iceland,Europe,2019,5.554,1.472,1.338,1.073,0.832,0.12,0.089
Iceland,Europe,2020,4.54,1.177,1.14,0.86,0.378,0.408,0.409
Finland,Europe,2018,5.7,1.421,1.204,0.987,0.413,0.435,0.268
Australia,Oceania,2020,4.168,1.206,1.005,0.754,0.389,0.365,0.416
United States,North America,2020,6.147,1.445,1.239,1.022,0.361,0.46,0.448
Norway,Europe,2018,6.815,1.599,1.402,1.167,0.331,0.116,0.187
Norway,Europe,2016,5.471,1.348,1.376,1.082,0.859,0.334,0.339
United States,North America,2022,6.613,1.564,1.334,1.1,0.583,0.172,0.493
Denmark,Europe,2019,7.159,1.704,1.613,1.306,0.637,0.25,0.336
Norway,Europe,2021,5.831,1.4,1.252,0.978,0.811,0.454,0.092
Norway,Europe,2021,5.021,1.238,1.243,0.998,0.76,0.542,0.298
Norway,Europe,2026,6.465,1.643,1.525,1.224,0.372,0.557,0.342
Switzerland,Europe,2025,7.241,1.75,1.455,1.383,0.406,0.341,0.285
United States,North America,2018,7.567,1.926,1.711,1.43,0.574,0.058,0.383
Denmark,Europe,2017,3.914,1.032,1.082,0.721,0.809,0.251,0.068
India,South Asia,2026,7.654,1.807,1.569,1.326,0.788,0.006,0.112
Iceland,Europe,2018,4.585,1.277,1.201,0.977,0.464,0.548,0.368
Switzerland,Europe,2024,3.126,0.915,0.883,0.727,0.404,0.377,0.089
Sweden,Europe,2022,6.24,1.447,1.279,1.169,0.586,0.442,0.14
Denmark,Europe,2020,3.849,1.033,1.08,0.803,0.33,0.593,0.078
Germany,Europe,2016,5.556,1.346,1.153,0.969,0.815,0.524,0.233
New Zealand,Oceania,2016,5.338,1.334,1.183,0.974,0.616,0.363,0.233
New Zealand,Oceania,2023,5.368,1.399,1.241,1.092,0.675,0.546,0.003
New Zealand,Oceania,2019,5.51,1.309,1.188,1.091,0.511,0.434,0.389
United States,North America,2021,6.759,1.616,1.472,1.251,0.401,0.164,0.326
Canada,North America,2025,5.368,1.43,1.211,1.081,0.742,0.189,0.198
Switzerland,Europe,2022,7.293,1.699,1.567,1.218,0.468,0.412,0.039
Canada,North America,2020,7.324,1.904,1.483,1.348,0.856,0.055,0.207
Austria,Europe,2015,3.973,1.158,0.973,0.716,0.57,0.196,0.141
Netherlands,Europe,2024,5.321,1.341,1.084,1.059,0.589,0.493,0.412
Iceland,Europe,2025,3.021,0.942,0.872,0.575,0.721,0.012,0.014
Iceland,Europe,2017,3.461,1.052,0.991,0.749,0.338,0.195,0.186
Norway,Europe,2026,3.009,0.859,0.729,0.585,0.711,0.317,0.457
United States,North America,2025,6.488,1.509,1.468,1.212,0.758,0.158,0.32
New Zealand,Oceania,2018,6.185,1.432,1.406,1.149,0.426,0.491,0.437
Switzerland,Europe,2015,3.365,0.941,0.85,0.69,0.757,0.582,0.239
Germany,Europe,2018,6.139,1.608,1.265,1.126,0.568,0.399,0.032
Finland,Europe,2023,5.454,1.469,1.184,1.049,0.874,0.566,0.472
New Zealand,Oceania,2022,4.934,1.151,1.081,0.875,0.672,0.468,0.257
Australia,Oceania,2017,3.062,0.929,0.705,0.651,0.566,0.524,0.483
Germany,Europe,2022,3.324,0.944,0.849,0.712,0.328,0.465,0.116
Denmark,Europe,2018,5.298,1.4,1.318,1.073,0.573,0.516,0.051
Switzerland,Europe,2015,5.632,1.452,1.16,1.039,0.357,0.361,0.428
Canada,North America,2021,4.816,1.358,1.166,0.985,0.702,0.594,0.411
New Zealand,Oceania,2021,4.794,1.183,1.021,0.908,0.869,0.323,0.143
Austria,Europe,2018,5.943,1.446,1.331,1.046,0.508,0.423,0.292
Iceland,Europe,2016,7.671,1.75,1.506,1.391,0.725,0.011,0.321
Canada,North America,2022,7.612,1.899,1.526,1.273,0.642,0.38,0.416
Australia,Oceania,2021,4.884,1.336,1.142,0.927,0.719,0.062,0.133
Luxembourg,Europe,2026,5.42,1.469,1.102,0.976,0.513,0.254,0.493
Austria,Europe,2018,5.49,1.392,1.319,1.027,0.663,0.452,0.051
Norway,Europe,2019,7.062,1.701,1.59,1.312,0.81,0.113,0.352
Sweden,Europe,2025,5.087,1.221,1.027,0.981,0.819,0.015,0.098
Luxembourg,Europe,2026,6.196,1.456,1.232,1.133,0.791,0.021,0.175
Norway,Europe,2026,3.628,0.907,0.914,0.835,0.472,0.293,0.2
Iceland,Europe,2017,3.345,0.927,0.956,0.799,0.719,0.228,0.206
New Zealand,Oceania,2018,7.066,1.759,1.538,1.296,0.787,0.387,0.399
Germany,Europe,2024,4.332,1.06,1.119,0.767,0.778,0.233,0.04
Iceland,Europe,2026,4.442,1.175,1.041,0.826,0.817,0.244,0.235
Netherlands,Europe,2023,6.05,1.544,1.242,1.191,0.78,0.138,0.243
Luxembourg,Europe,2024,4.673,1.282,0.974,0.884,0.557,0.281,0.431
Australia,Oceania,2026,3.494,0.973,0.781,0.639,0.556,0.132,0.181
Canada,North America,2021,3.445,0.948,0.728,0.81,0.505,0.417,0.405
Norway,Europe,2015,6.594,1.709,1.359,1.288,0.312,0.13,0.39
Australia,Oceania,2022,6.352,1.661,1.531,1.148,0.883,0.247,0.109
Finland,Europe,2026,6.119,1.511,1.372,1.101,0.615,0.572,0.25
India,South Asia,2017,6.642,1.596,1.54,1.108,0.499,0.057,0.043
India,South Asia,2025,4.85,1.335,1.128,0.887,0.733,0.374,0.4
Iceland,Europe,2019,3.802,1.054,0.902,0.763,0.853,0.216,0.306
Luxembourg,Europe,2024,7.147,1.622,1.568,1.174,0.728,0.141,0.19
Germany,Europe,2018,7.419,1.785,1.702,1.253,0.433,0.508,0.452
New Zealand,Oceania,2018,3.285,0.795,0.77,0.745,0.606,0.273,0.292
Luxembourg,Europe,2022,3.434,0.979,0.996,0.658,0.803,0.419,0.007
Austria,Europe,2021,5.908,1.475,1.322,1.033,0.705,0.16,0.195
Switzerland,Europe,2020,6.015,1.528,1.473,1.062,0.551,0.242,0.46
Netherlands,Europe,2025,5.125,1.241,1.023,0.891,0.722,0.409,0.161
Iceland,Europe,2025,4.516,1.051,1.097,0.9,0.735,0.007,0.409
Netherlands,Europe,2021,6.053,1.554,1.309,1.029,0.664,0.481,0.499
Netherlands,Europe,2016,6.988,1.74,1.539,1.244,0.641,0.361,0.484
Finland,Europe,2022,5.335,1.328,1.165,0.917,0.423,0.383,0.248
Austria,Europe,2016,5.611,1.298,1.263,1.135,0.484,0.434,0.373
Netherlands,Europe,2021,5.486,1.458,1.299,0.972,0.618,0.334,0.226
Denmark,Europe,2023,5.971,1.518,1.43,1.178,0.408,0.188,0.325
Australia,Oceania,2015,4.849,1.295,1.081,0.998,0.815,0.541,0.003
Iceland,Europe,2024,5.179,1.313,1.109,1.022,0.462,0.512,0.089
Finland,Europe,2025,5.987,1.518,1.201,1.167,0.659,0.522,0.434
Iceland,Europe,2016,7.343,1.709,1.651,1.346,0.364,0.198,0.095
Germany,Europe,2018,3.831,0.943,0.839,0.693,0.616,0.194,0.454
India,South Asia,2017,5.437,1.438,1.304,0.949,0.359,0.355,0.371
Norway,Europe,2020,4.785,1.32,1.245,0.909,0.348,0.155,0.116
India,South Asia,2020,5.371,1.377,1.103,1.083,0.672,0.358,0.494
Denmark,Europe,2021,4.374,1.072,1.042,0.858,0.436,0.42,0.015
Switzerland,Europe,2019,5.194,1.365,1.178,1.075,0.501,0.59,0.032
Norway,Europe,2022,5.18,1.395,1.269,1.037,0.357,0.493,0.107
Netherlands,Europe,2015,4.045,1.06,1.051,0.75,0.368,0.388,0.492
Canada,North America,2015,6.317,1.58,1.472,1.243,0.626,0.25,0.43
Canada,North America,2023,4.617,1.161,1.15,0.835,0.525,0.546,0.057
India,South Asia,2026,6.372,1.484,1.453,1.17,0.473,0.187,0.416
Austria,Europe,2023,5.988,1.409,1.261,1.055,0.661,0.584,0.477
Austria,Europe,2021,4.463,1.041,1.023,0.936,0.849,0.142,0.133
India,South Asia,2017,4.68,1.281,1.137,0.959,0.65,0.155,0.114
India,South Asia,2016,3.095,0.81,0.952,0.594,0.319,0.347,0.186
Iceland,Europe,2023,6.513,1.529,1.442,1.083,0.564,0.428,0.207
Austria,Europe,2020,3.295,0.988,0.961,0.663,0.399,0.587,0.273
United States,North America,2015,6.56,1.535,1.455,1.262,0.314,0.404,0.276
Switzerland,Europe,2026,4.242,1.198,0.956,0.822,0.428,0.518,0.098
Denmark,Europe,2018,5.187,1.4,1.113,0.905,0.633,0.306,0.178
Australia,Oceania,2023,4.494,1.061,1.137,0.879,0.484,0.244,0.011
Australia,Oceania,2020,4.756,1.275,1.144,0.944,0.776,0.379,0.209
Norway,Europe,2018,6.261,1.432,1.471,1.087,0.485,0.027,0.205
Luxembourg,Europe,2022,4.818,1.337,1.227,0.835,0.483,0.546,0.015
United States,North America,2017,7.351,1.86,1.646,1.371,0.699,0.254,0.031
Luxembourg,Europe,2024,7.345,1.794,1.582,1.282,0.814,0.009,0.312
Norway,Europe,2026,3.057,0.969,0.834,0.643,0.358,0.419,0.141
Germany,Europe,2022,7.327,1.821,1.481,1.203,0.734,0.512,0.203
Netherlands,Europe,2015,6.113,1.469,1.244,1.119,0.589,0.31,0.412
Netherlands,Europe,2016,7.323,1.871,1.613,1.21,0.819,0.543,0.188
Australia,Oceania,2024,4.349,1.01,1.027,0.778,0.41,0.288,0.434
Norway,Europe,2019,7.267,1.891,1.617,1.214,0.592,0.49,0.286
Denmark,Europe,2021,3.825,1.108,0.947,0.815,0.524,0.319,0.489
Luxembourg,Europe,2017,3.205,0.994,0.919,0.641,0.378,0.207,0.447
New Zealand,Oceania,2019,4.677,1.202,0.952,0.855,0.657,0.194,0.435
Canada,North America,2021,5.119,1.309,1.211,1.001,0.338,0.032,0.433
Sweden,Europe,2020,5.804,1.483,1.194,1.123,0.82,0.171,0.439
Germany,Europe,2020,6.842,1.715,1.507,1.172,0.517,0.546,0.233
Germany,Europe,2026,7.492,1.815,1.565,1.402,0.847,0.213,0.296
United States,North America,2018,6.227,1.499,1.29,1.11,0.656,0.403,0.323
India,South Asia,2023,6.056,1.408,1.355,1.125,0.43,0.235,0.414
Germany,Europe,2024,5.086,1.402,1.167,1.008,0.796,0.122,0.109
United States,North America,2022,6.616,1.521,1.388,1.172,0.797,0.253,0.463
Denmark,Europe,2026,6.747,1.701,1.432,1.126,0.644,0.217,0.175
Luxembourg,Europe,2024,4.547,1.072,1.008,0.95,0.77,0.583,0.328
India,South Asia,2016,7.453,1.721,1.518,1.27,0.643,0.246,0.04
Australia,Oceania,2018,7.181,1.729,1.654,1.183,0.716,0.043,0.074
Australia,Oceania,2016,4.01,1.133,1.106,0.748,0.49,0.428,0.408
Norway,Europe,2024,4.312,1.138,0.916,0.813,0.327,0.127,0.253
Germany,Europe,2026,7.269,1.827,1.417,1.366,0.886,0.301,0.157
Austria,Europe,2022,3.42,0.925,0.731,0.714,0.452,0.286,0.209
New Zealand,Oceania,2015,5.153,1.302,1.278,1.006,0.56,0.543,0.378
Canada,North America,2023,3.738,0.893,0.868,0.748,0.603,0.511,0.009
Canada,North America,2022,4.973,1.381,1.067,0.87,0.385,0.312,0.195
Sweden,Europe,2026,4.551,1.083,1.035,0.959,0.543,0.5,0.186
Canada,North America,2024,6.719,1.581,1.379,1.118,0.413,0.227,0.2
Germany,Europe,2024,5.303,1.36,1.111,1.018,0.502,0.44,0.279
Luxembourg,Europe,2020,6.29,1.517,1.361,1.16,0.553,0.267,0.136
Austria,Europe,2023,3.657,0.894,1.049,0.783,0.326,0.082,0.243
Finland,Europe,2015,6.858,1.702,1.518,1.221,0.454,0.354,0.358
Luxembourg,Europe,2021,5.424,1.453,1.121,1.023,0.509,0.422,0.009
Australia,Oceania,2023,3.494,0.835,0.946,0.752,0.837,0.312,0.265
Iceland,Europe,2023,4.552,1.061,0.988,0.83,0.501,0.566,0.402
Switzerland,Europe,2017,7.793,1.873,1.571,1.381,0.829,0.279,0.253
Denmark,Europe,2019,7.5,1.73,1.696,1.332,0.68,0.102,0.076
Germany,Europe,2018,6.202,1.601,1.492,1.11,0.577,0.282,0.135
New Zealand,Oceania,2016,3.531,0.996,0.8,0.763,0.817,0.391,0.06
Norway,Europe,2017,6.218,1.665,1.224,1.115,0.815,0.26,0.003
Austria,Europe,2021,7.695,1.823,1.591,1.374,0.588,0.128,0.33
Germany,Europe,2024,6.138,1.496,1.415,1.154,0.605,0.423,0.23
Denmark,Europe,2019,3.874,0.964,0.816,0.823,0.52,0.056,0.41
Netherlands,Europe,2025,5.171,1.249,1.076,0.967,0.831,0.113,0.284
Netherlands,Europe,2024,6.058,1.493,1.405,1.174,0.654,0.523,0.257
Luxembourg,Europe,2024,5.206,1.275,1.248,1.062,0.883,0.174,0.478
Germany,Europe,2016,4.469,1.28,1.168,0.909,0.837,0.409,0.22
Netherlands,Europe,2025,6.861,1.747,1.521,1.133,0.734,0.464,0.361
Switzerland,Europe,2020,5.068,1.413,1.244,0.976,0.861,0.545,0.407
Sweden,Europe,2025,5.53,1.349,1.171,1.032,0.647,0.147,0.461
India,South Asia,2015,5.653,1.473,1.229,1.007,0.817,0.253,0.098
Luxembourg,Europe,2016,4.612,1.118,0.938,0.986,0.58,0.097,0.379
Finland,Europe,2026,5.534,1.275,1.206,0.979,0.682,0.311,0.178
Norway,Europe,2023,5.016,1.393,1.098,0.981,0.49,0.066,0.314
Finland,Europe,2020,6.006,1.523,1.306,1.124,0.456,0.227,0.221
Germany,Europe,2020,4.672,1.237,1.005,0.851,0.689,0.457,0.231
Norway,Europe,2023,3.481,0.911,0.881,0.815,0.603,0.465,0.375
India,South Asia,2022,3.627,0.903,0.825,0.652,0.528,0.366,0.072
Finland,Europe,2021,6.394,1.499,1.291,1.255,0.309,0.195,0.017
Netherlands,Europe,2021,6.724,1.716,1.374,1.137,0.482,0.29,0.27
United States,North America,2017,6.183,1.517,1.497,1.08,0.676,0.367,0.141
New Zealand,Oceania,2023,4.754,1.139,1.099,0.89,0.407,0.27,0.211
Netherlands,Europe,2019,3.63,1.01,0.965,0.833,0.352,0.071,0.026
